country,state,city,station,last_update,latitude,longitude,pollutant_id,min_value,max_value,avg_value
India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB",08-12-2025 08:00:00,28.60909,77.0325413,PM10,127,474,225
India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB",08-12-2025 08:00:00,28.60909,77.0325413,SO2,10,18,15
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC",08-12-2025 08:00:00,28.570173,76.933762,PM2.5,200,327,293
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC",08-12-2025 08:00:00,28.570173,76.933762,CO,38,57,48
India,Delhi,Delhi,"Narela, Delhi - DPCC",08-12-2025 08:00:00,28.822836,77.101981,NH3,6,8,7
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC",08-12-2025 08:00:00,28.567890,77.250515,PM2.5,308,440,350
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",08-12-2025 08:00:00,28.695381,77.181665,NH3,1,1,1
India,Delhi,Delhi,"Aya Nagar, Delhi - IMD",08-12-2025 08:00:00,28.4706914,77.1099364,PM10,175,304,220
India,Delhi,Delhi,"Aya Nagar, Delhi - IMD",08-12-2025 08:00:00,28.4706914,77.1099364,OZONE,15,85,33
India,Delhi,Delhi,"Bawana, Delhi - DPCC",08-12-2025 08:00:00,28.776200,77.051074,SO2,10,30,17
India,Delhi,Delhi,"CRRI Mathura Road, Delhi - IMD",08-12-2025 08:00:00,28.5512005,77.2735737,PM2.5,228,327,301
India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM",08-12-2025 08:00:00,28.656756,77.227234,NO2,16,47,32
India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM",08-12-2025 08:00:00,28.656756,77.227234,NH3,6,8,7
India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",08-12-2025 08:00:00,28.6811736,77.3025234,OZONE,25,53,26
India,Delhi,Delhi,"ITO, Delhi - CPCB",08-12-2025 08:00:00,28.628624,77.241060,PM10,153,266,196
India,Delhi,Delhi,"ITO, Delhi - CPCB",08-12-2025 08:00:00,28.628624,77.241060,NO2,59,112,78
India,Delhi,Delhi,"ITO, Delhi - CPCB",08-12-2025 08:00:00,28.628624,77.241060,SO2,1,30,17
India,Delhi,Delhi,"ITO, Delhi - CPCB",08-12-2025 08:00:00,28.628624,77.241060,OZONE,10,25,11
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC",08-12-2025 08:00:00,28.732820,77.170633,CO,60,116,78
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC",08-12-2025 08:00:00,28.580280,77.233829,PM10,175,398,250
India,Delhi,Delhi,"DTU, Delhi - CPCB",08-12-2025 08:00:00,28.7500499,77.1112615,PM10,151,280,198
India,Delhi,Delhi,"DTU, Delhi - CPCB",08-12-2025 08:00:00,28.7500499,77.1112615,NH3,5,6,6
India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",08-12-2025 08:00:00,28.498571,77.264840,OZONE,9,48,14
India,Delhi,Delhi,"IGI Airport (T3), Delhi - IMD",08-12-2025 08:00:00,28.5627763,77.1180053,PM2.5,133,293,229
India,Delhi,Delhi,"IGI Airport (T3), Delhi - IMD",08-12-2025 08:00:00,28.5627763,77.1180053,CO,21,62,48
India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",08-12-2025 08:00:00,28.6811736,77.3025234,PM10,273,367,313
India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC",08-12-2025 08:00:00,28.672342,77.315260,NO2,40,129,76
India,Delhi,Delhi,"Wazirpur, Delhi - DPCC",08-12-2025 08:00:00,28.699793,77.165453,PM2.5,315,380,349
India,Gujarat,Ahmedabad,"Chandkheda, Ahmedabad - IITM",08-12-2025 08:00:00,23.107969,72.574648,NH3,3,15,5
